title,audiences,url
Working safely during coronavirus (COVID-19) - Construction and other outdoor work,"employers,self employed",https://www.gov.uk/guidance/working-safely-during-coronavirus-covid-19/construction-and-other-outdoor-work
"Working safely during coronavirus (COVID-19) - Factories, plants and warehouses","employers,self employed",https://www.gov.uk/guidance/working-safely-during-coronavirus-covid-19/factories-plants-and-warehouses
Working safely during coronavirus (COVID-19) - Labs and research facilities,"employers,self employed",https://www.gov.uk/guidance/working-safely-during-coronavirus-covid-19/offices-and-contact-centres
Working safely during coronavirus (COVID-19) - Offices and contact centres,"employers,self employed",https://www.gov.uk/guidance/working-safely-during-coronavirus-covid-19/offices-and-contact-centres
Working safely during coronavirus (COVID-19) - Restaurants offering takeaway or delivery,"employers,self employed",https://www.gov.uk/guidance/working-safely-during-coronavirus-covid-19/restaurants-offering-takeaway-or-delivery
Working safely during coronavirus (COVID-19) - Shops and branches,"employers,self employed",https://www.gov.uk/guidance/working-safely-during-coronavirus-covid-19/shops-and-branches
Working safely during coronavirus (COVID-19) - Vehicles,"employers,self employed",https://www.gov.uk/guidance/working-safely-during-coronavirus-covid-19/vehicles
